region,fecha,poblacion_cuarentena
REGIÓN METROPOLITANA DE SANTIAGO,2020-03-27,1336310
REGIÓN METROPOLITANA DE SANTIAGO,2020-03-28,1336310
REGIÓN METROPOLITANA DE SANTIAGO,2020-03-29,1336310
REGIÓN METROPOLITANA DE SANTIAGO,2020-03-30,1336310
REGIÓN METROPOLITANA DE SANTIAGO,2020-03-31,1336310
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-01,1336310
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-02,1336310
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-03,1236251
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-04,1236251
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-05,1236251
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-06,1236251
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-07,1236251
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-08,1236251
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-09,1236251
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-10,1519183
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-11,1519183
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-12,1519183
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-13,1044204
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-14,1044204
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-15,1044204
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-16,1044204
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-17,1038228
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-18,1038228
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-19,1038228
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-20,1038228
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-21,1038228
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-22,1038228
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-23,1038228
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-24,1277875
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-25,1277875
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-26,1277875
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-27,1277875
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-28,1277875
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-29,1277875
REGIÓN METROPOLITANA DE SANTIAGO,2020-04-30,1277875
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-01,1656375
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-02,1656375
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-03,1656375
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-04,1656375
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-05,1656375
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-06,2197015
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-07,2197015
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-08,2197015
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-09,4226731
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-10,4226731
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-11,4226731
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-12,4226731
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-13,4226731
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-14,4226731
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-15,4226731
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-16,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-17,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-18,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-19,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-20,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-21,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-22,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-23,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-24,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-25,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-26,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-27,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-28,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-29,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-30,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-05-31,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-06-01,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-06-02,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-06-03,6327756
REGIÓN METROPOLITANA DE SANTIAGO,2020-06-04,6327756
